latitude,longitude,mag,magType,depth,id,time,place
-6.4073229233958635,-50.33428856703435,1.1180455380639898,ML,0.79,235,2023-10-13,Unknown
-6.406071251078387,-50.33168602587596,1.0919739583695809,ML,0.78,236,2023-10-13,Unknown
-6.399204022578178,-50.33740957267537,0.9819967485815266,ML,0.77,237,2023-10-25,Unknown
-6.3989440867190135,-50.332264945864786,0.9899093853315075,ML,0.78,238,2023-11-10,Unknown
-6.403155841741828,-50.33655451339952,1.1301266369305667,ML,0.76,239,2023-11-10,Unknown
-6.410125341400961,-50.339963506238185,0.6479604185942143,ML,0.79,240,2023-11-17,Unknown
-6.406942927446379,-50.334225763808256,1.1180455380639898,ML,0.78,241,2023-11-17,Unknown
-6.402239102860451,-50.33413239497526,1.1245732287053984,ML,0.78,242,2023-11-17,Unknown
-6.400162544120506,-50.316457747653295,1.0308691762491735,ML,0.71,243,2023-11-30,Unknown
-6.399104789379048,-50.33063715763281,1.1780901601071498,ML,0.75,244,2023-12-08,Unknown
-6.4066480053395605,-50.336993074269884,1.1004347161768475,ML,0.8,245,2023-12-12,Unknown
-6.39884275896259,-50.33784405967139,0.6479604185942143,ML,0.76,246,2023-12-12,Unknown
-6.398634231594103,-50.33049309651797,1.1149539270165465,ML,0.77,247,2023-12-29,Unknown
-6.407947513197068,-50.334631363651866,1.1127275283179747,ML,0.78,248,2024-01-12,Unknown
-6.4065651456195845,-50.33587194235179,1.1180455380639898,ML,0.78,249,2024-01-19,Unknown
-6.401814324406267,-50.33441325224858,1.1050418773071362,ML,0.77,250,2024-01-19,Unknown
-6.406498948481478,-50.347735469635666,1.1018237198230425,ML,0.72,251,2024-02-06,Unknown
-6.408177244372228,-50.33740704491455,1.0919739583695809,ML,0.76,252,2024-02-09,Unknown
-6.407374054199765,-50.33885484380702,1.063632537702531,ML,0.76,253,2024-02-23,Unknown
-6.4081441970840505,-50.33983946106432,0.9475302722610845,ML,0.76,254,2024-02-27,Unknown
-6.406074345482546,-50.34816099505814,0.7769118930576071,ML,0.72,255,2024-02-29,Unknown
-6.4081154768150705,-50.338609747732804,1.0852379841051132,ML,0.76,256,2024-02-29,Unknown
-6.409386063332948,-50.33486459925256,1.087659711702762,ML,0.76,257,2024-03-05,Unknown
-6.408062612376697,-50.33970393172569,1.0149772019467198,ML,0.76,258,2024-03-05,Unknown
-6.407513888467204,-50.335065954078686,1.1180455380639898,ML,0.76,259,2024-03-08,Unknown
-6.405730027142675,-50.34770027697384,0.7769118930576071,ML,0.72,260,2024-03-15,Unknown
-6.4093001207129525,-50.338355037408334,1.0620703243413114,ML,0.76,261,2024-03-15,Unknown
-6.4088047994418424,-50.33305689545035,1.0783597616112388,ML,0.76,262,2024-03-15,Unknown
-6.409825754728926,-50.33912295639954,0.9799881860311914,ML,0.76,263,2024-03-20,Unknown
-6.408214731467394,-50.331439095436906,1.0783597616112388,ML,0.76,264,2024-03-22,Unknown
-6.4078447347258995,-50.33210870460379,1.0919739583695809,ML,0.76,265,2024-03-28,Unknown
-6.406539505183414,-50.337029383318544,1.087659711702762,ML,0.76,266,2024-03-28,Unknown
-6.39867817442537,-50.32950745056659,0.4523853068591701,ML,0.75,267,2024-03-28,Unknown
-6.40695305146396,-50.33505763792277,1.1050418773071362,ML,0.81,268,2022-02-10,Unknown
-6.404301867720115,-50.33441907286024,1.1755210808392986,ML,0.81,269,2022-02-18,Unknown
-6.405875081201084,-50.3338654585795,1.1180455380639898,ML,0.8,270,2022-02-18,Unknown
-6.401608770484951,-50.31566011782084,1.1245732287053984,ML,0.73,271,2022-02-24,Unknown
-6.40660431507775,-50.33120609356801,1.0605005822119287,ML,0.81,272,2022-03-07,Unknown
-6.405976036255973,-50.33498656480626,1.1301266369305667,ML,0.81,273,2022-03-07,Unknown
-6.405198061109726,-50.32799793891605,1.1180455380639898,ML,0.81,274,2022-03-11,Unknown
-6.40278619485517,-50.31678881840103,1.1421840505925407,ML,0.72,275,2022-03-15,Unknown
-6.401491237783437,-50.329422402933595,1.1004347161768475,ML,0.8,276,2022-03-18,Unknown
-6.401947414567602,-50.33241476205689,1.2054247148675676,ML,0.81,277,2022-03-25,Unknown
-6.400178320467382,-50.328420439770326,0.9106464323448364,ML,0.8,278,2022-03-31,Unknown
-6.399886921718969,-50.313266255549316,1.1004347161768475,ML,0.73,279,2022-04-08,Unknown
-6.410937696176155,-50.338606112048396,0.8373401352393302,ML,0.8,280,2022-04-20,Unknown
-6.398516419217998,-50.309814018131576,1.0919739583695809,ML,0.73,281,2022-04-20,Unknown
-6.404574899435674,-50.32874925652757,1.1470456462384808,ML,0.8,282,2022-04-26,Unknown
-6.411584698976254,-50.33529578250132,1.0995054120901862,ML,0.79,283,2022-04-30,Unknown
-6.409442331705033,-50.32944819348248,1.1856780108258058,ML,0.78,284,2022-05-06,Unknown
-6.400804027596077,-50.33658467532582,0.8235228231192404,ML,0.83,285,2022-05-11,Unknown
-6.403223720516194,-50.333091268051625,1.2054247148675676,ML,0.84,286,2022-05-18,Unknown
-6.404971626247619,-50.32777217995323,1.1470456462384808,ML,0.79,287,2022-08-18,Unknown
-6.401271863227549,-50.32767755577303,0.8485906397344529,ML,0.79,288,2022-08-19,Unknown
-6.397819294331661,-50.309353809275954,0.9172268755754653,ML,0.73,289,2022-09-01,Unknown
-6.409112771214806,-50.326455629705855,1.2054247148675676,ML,0.79,290,2022-09-01,Unknown
-6.401271863227549,-50.32767755577303,0.764136888583522,ML,0.79,291,2022-09-06,Unknown
-6.400813678654095,-50.30958488218303,1.1972557384614406,ML,0.7,292,2022-09-24,Unknown
-6.40181140472887,-50.31160897664258,1.1245732287053984,ML,0.72,293,2022-09-27,Unknown
-6.402014805370189,-50.328598883773786,1.0460217158153888,ML,0.73,294,2022-09-27,Unknown
-6.403518972097937,-50.337566770611325,1.087659711702762,ML,0.8,295,2022-11-08,Unknown
-6.408599345014398,-50.33505550630673,1.1680671889386636,ML,0.79,296,2022-11-11,Unknown
-6.400560406167599,-50.330083692673256,1.0743631364824386,ML,0.78,297,2022-11-16,Unknown
-6.397214967812157,-50.31063858981496,0.9422946921906779,ML,0.73,298,2022-11-22,Unknown
-6.39602887769876,-50.31657174555519,0.6730282352094268,ML,0.75,299,2022-11-30,Unknown
-6.410079362180033,-50.32547779408304,1.1470456462384808,ML,0.79,300,2022-11-30,Unknown
-6.401219434114202,-50.329088198235986,1.1004347161768475,ML,0.78,301,2023-01-06,Unknown
-6.399747521066669,-50.31049052190288,1.1470456462384808,ML,0.72,302,2023-01-06,Unknown
-6.396047985700086,-50.310558775412595,0.6625201993773158,ML,0.72,303,2023-01-31,Unknown
-6.407275393595362,-50.33251634646067,1.1470456462384808,ML,0.79,304,2023-01-31,Unknown
-6.3979624318935135,-50.31492352185079,0.7892047051987341,ML,0.73,305,2023-02-08,Unknown
-6.409346434796372,-50.32529791148045,1.105499029468393,ML,0.77,306,2023-02-08,Unknown
-6.399944080933811,-50.329144115209566,1.1245732287053984,ML,0.78,307,2023-02-11,Unknown
-6.399944080933811,-50.329144115209566,1.1004347161768475,ML,0.78,308,2023-02-17,Unknown
-6.407275393595362,-50.33251634646067,1.127575285545654,ML,0.79,309,2023-02-28,Unknown
-6.4092145958824,-50.32822778285377,1.2520132347422974,ML,0.77,310,2023-02-28,Unknown
-6.40361511909682,-50.33497153620659,1.1004347161768475,ML,0.79,311,2023-03-03,Unknown
-6.403156565700453,-50.3371151282258,1.1004347161768475,ML,0.8,312,2023-03-07,Unknown
-6.399944080933811,-50.329144115209566,1.0465696063759058,ML,0.78,313,2023-03-10,Unknown
-6.3979624318935135,-50.31492352185079,0.9599055140778199,ML,0.73,314,2023-03-17,Unknown
-6.396727975422135,-50.31173332801417,1.0149772019467198,ML,0.72,315,2023-03-31,Unknown
-6.40361511909682,-50.33497153620659,1.1004347161768475,ML,0.79,316,2023-03-31,Unknown
-6.409960112349521,-50.331120342272506,0.9806590840262137,ML,0.78,317,2023-04-07,Unknown
-6.403156565700453,-50.3371151282258,1.1180455380639898,ML,0.8,318,2023-04-07,Unknown
-6.396386735765036,-50.313596441997255,0.39704564623848104,ML,0.73,319,2023-04-14,Unknown
-6.396727975422135,-50.31173332801417,0.6607354230682998,ML,0.72,320,2023-04-14,Unknown
-6.3991330560733966,-50.33150516325859,1.1127275283179747,ML,0.79,321,2023-04-14,Unknown
-6.406758996412336,-50.331902144918985,1.1856780108258058,ML,0.8,322,2023-04-21,Unknown
-6.398684965003195,-50.31409068895309,1.1228452625232253,ML,0.71,323,2023-04-30,Unknown
-6.402004281112055,-50.327468628329505,0.9300018800495506,ML,0.78,324,2023-05-15,Unknown
-6.405955364096367,-50.33299730012131,1.1421840505925407,ML,0.78,325,2023-05-18,Unknown
-6.402004281112055,-50.327468628329505,1.1004347161768475,ML,0.78,326,2023-05-28,Unknown
-6.405689688293567,-50.33739216950441,1.148249791275045,ML,0.8,327,2023-05-31,Unknown
-6.396300022730947,-50.30963615161145,1.2064315807741997,ML,0.74,328,2023-06-09,Unknown
-6.400157695234677,-50.31282283132263,1.1004347161768475,ML,0.72,329,2023-06-09,Unknown
-6.40460879709888,-50.32700406782075,1.087659711702762,ML,0.78,330,2023-06-14,Unknown
-6.411115055662347,-50.335857015026804,1.0460217158153888,ML,0.78,331,2023-06-22,Unknown
-6.404980245472605,-50.32744664929106,1.0743631364824386,ML,0.78,332,2023-06-30,Unknown
-6.400189054957167,-50.31598752321215,1.1245732287053984,ML,0.72,333,2023-06-30,Unknown
-6.400520120959693,-50.31327445192409,1.1245732287053984,ML,0.72,334,2023-06-30,Unknown
-6.400520120959693,-50.31327445192409,0.9164115538445547,ML,0.72,335,2023-07-07,Unknown
-6.400189054957167,-50.31598752321215,1.1004347161768475,ML,0.72,336,2023-07-07,Unknown
-6.396550508663702,-50.3143105439984,0.4656818820794937,ML,0.73,337,2023-07-14,Unknown
-6.400520120959693,-50.31327445192409,1.126720374657423,ML,0.72,338,2023-07-14,Unknown
-6.411125880529077,-50.330268845257585,1.0460217158153888,ML,0.78,339,2023-07-19,Unknown
-6.400520120959693,-50.31327445192409,1.0620703243413114,ML,0.72,340,2023-07-27,Unknown
-6.411125880529077,-50.330268845257585,1.0460217158153888,ML,0.78,341,2023-07-31,Unknown
-6.402701783053716,-50.32822725757706,1.1661767549529252,ML,0.76,342,2023-07-31,Unknown
-6.402701783053716,-50.32822725757706,1.1122804165642712,ML,0.76,343,2023-08-04,Unknown
-6.407259956222016,-50.334559916379916,1.1180455380639898,ML,0.79,344,2023-08-04,Unknown
-6.406528940982536,-50.32890042131652,1.1780901601071498,ML,0.79,345,2023-08-11,Unknown
-6.400520120959693,-50.31327445192409,1.0460217158153888,ML,0.72,346,2023-08-15,Unknown
-6.395789790955384,-50.31364244848764,0.4753098006083727,ML,0.63,347,2023-08-18,Unknown
-6.405438955816902,-50.33237405727061,1.1421840505925407,ML,0.8,348,2023-08-18,Unknown
-6.411125880529077,-50.330268845257585,1.0149772019467198,ML,0.78,349,2023-08-22,Unknown
-6.399841355608527,-50.313013137938725,0.8737329153422002,ML,0.71,350,2023-08-28,Unknown
-6.406528940982536,-50.32890042131652,1.1470456462384808,ML,0.79,351,2023-08-29,Unknown
-6.4060530422167075,-50.33159562725261,1.164656468125623,ML,0.8,352,2023-09-08,Unknown
-6.404789067914581,-50.32651555288221,1.0743631364824386,ML,0.75,353,2023-09-22,Unknown
-6.410345959801508,-50.33568620613957,1.1180455380639898,ML,0.76,354,2023-09-22,Unknown
-6.40990254899254,-50.32172547832965,1.1127275283179747,ML,0.76,355,2023-09-22,Unknown
-6.409155870431553,-50.33174530776639,1.0743631364824386,ML,0.76,356,2023-09-29,Unknown
-6.39698529718316,-50.31476206649911,0.4656818820794937,ML,0.72,357,2023-10-10,Unknown
-6.396204278483448,-50.31243930636366,0.8068155270858761,ML,0.71,358,2023-10-10,Unknown
-6.406071251078387,-50.33168602587596,1.0919739583695809,ML,0.78,359,2023-10-13,Unknown
-6.4004139422349375,-50.32875469068815,1.0610246705976074,ML,0.76,360,2023-10-13,Unknown
-6.3999338303084485,-50.328221832518736,0.7951814024521906,ML,0.77,361,2023-10-25,Unknown
-6.400153974914227,-50.31004691452955,1.1127275283179747,ML,0.69,362,2023-10-25,Unknown
-6.4008191000313115,-50.3273074204881,0.7951814024521906,ML,0.77,363,2023-10-31,Unknown
-6.400217546838884,-50.33075325676174,1.1421840505925407,ML,0.76,364,2023-11-10,Unknown
-6.403155841741828,-50.33655451339952,1.1301266369305667,ML,0.76,365,2023-11-10,Unknown
-6.402239102860451,-50.33413239497526,1.1245732287053984,ML,0.78,366,2023-11-17,Unknown
-6.409166569579161,-50.326093868074814,1.0919739583695809,ML,0.77,367,2023-11-24,Unknown
-6.408120254124186,-50.32148369202846,1.0919739583695809,ML,0.71,368,2023-11-24,Unknown
-6.397273415280264,-50.313758015703165,0.7892047051987341,ML,0.72,369,2023-11-24,Unknown
-6.400162544120506,-50.316457747653295,1.0308691762491735,ML,0.71,370,2023-11-30,Unknown
-6.397937748446717,-50.30999563564193,1.0149772019467198,ML,0.71,371,2023-11-30,Unknown
-6.400019796487411,-50.31116831331121,1.1127275283179747,ML,0.7,372,2023-12-04,Unknown
-6.398119581117403,-50.31068258770521,1.032588023833862,ML,0.7,373,2024-01-26,Unknown
-6.399717333818075,-50.30822100058236,0.7892047051987341,ML,0.73,374,2024-01-26,Unknown
-6.3994905869056184,-50.30776920201284,0.8090933046299877,ML,0.73,375,2024-01-31,Unknown
-6.3978524259487255,-50.31382957966424,0.8045217087227112,ML,0.68,376,2024-01-31,Unknown
-6.39709140544496,-50.31293543286003,0.6105253308453398,ML,0.69,377,2024-02-06,Unknown
-6.397426754630457,-50.313432297462114,0.8079564069262759,ML,0.69,378,2024-02-09,Unknown
-6.400899360782177,-50.32643022866896,0.35868125440294496,ML,0.75,379,2024-02-14,Unknown
-6.397979823631092,-50.31439905931047,0.9212731494904951,ML,0.69,380,2024-02-16,Unknown
-6.400643971318221,-50.331738294457715,1.1122804165642712,ML,0.75,381,2024-02-29,Unknown
-6.400232298285362,-50.32819431619529,0.35868125440294496,ML,0.74,382,2024-03-01,Unknown
-6.400665917357889,-50.32775972737166,0.35868125440294496,ML,0.74,383,2024-03-05,Unknown
-6.409386063332948,-50.33486459925256,1.087659711702762,ML,0.76,384,2024-03-05,Unknown
-6.4088047994418424,-50.33305689545035,1.0783597616112388,ML,0.76,385,2024-03-15,Unknown
-6.4078447347258995,-50.33210870460379,1.0919739583695809,ML,0.76,386,2024-03-28,Unknown
-6.406539505183414,-50.337029383318544,1.087659711702762,ML,0.76,387,2024-03-28,Unknown
-6.39867817442537,-50.32950745056659,0.4523853068591701,ML,0.75,388,2024-03-28,Unknown
-6.397819294331661,-50.309353809275954,0.9172268755754653,ML,0.73,389,2022-09-01,Unknown
-6.409112771214806,-50.326455629705855,1.2054247148675676,ML,0.79,390,2022-09-01,Unknown
-6.401271863227549,-50.32767755577303,0.764136888583522,ML,0.79,391,2022-09-06,Unknown
-6.402014805370189,-50.328598883773786,1.0460217158153888,ML,0.73,392,2022-09-27,Unknown
-6.408543494671174,-50.326908489771206,1.1780901601071498,ML,0.79,393,2022-09-30,Unknown
-6.397915720533109,-50.313811411114784,1.1131740271698356,ML,0.7,394,2022-10-07,Unknown
-6.401313306792082,-50.31116658024256,1.2064315807741997,ML,0.64,395,2022-10-21,Unknown
-6.403518972097937,-50.337566770611325,1.0460217158153888,ML,0.8,396,2022-10-21,Unknown
-6.397915720533109,-50.313811411114784,0.8202492190674029,ML,0.7,397,2022-10-28,Unknown
-6.408599345014398,-50.33505550630673,1.1680671889386636,ML,0.79,398,2022-11-11,Unknown
-6.400560406167599,-50.330083692673256,1.0743631364824386,ML,0.78,399,2022-11-16,Unknown
-6.397214967812157,-50.31063858981496,0.9422946921906779,ML,0.73,400,2022-11-22,Unknown
-6.39602887769876,-50.31657174555519,0.6730282352094268,ML,0.75,401,2022-11-30,Unknown
-6.410079362180033,-50.32547779408304,1.1470456462384808,ML,0.79,402,2022-11-30,Unknown
-6.398740673274429,-50.31516662116429,1.1153973863926399,ML,0.74,403,2022-12-07,Unknown
-6.398740673274429,-50.31516662116429,0.7892047051987341,ML,0.74,404,2022-12-16,Unknown
-6.401058295672983,-50.337352930216696,0.8737329153422002,ML,0.8,405,2022-12-22,Unknown
-6.396431250828988,-50.313062902923825,0.5383643918355361,ML,0.73,406,2022-12-29,Unknown
-6.401058295672983,-50.337352930216696,1.0818170283830737,ML,0.8,407,2022-12-29,Unknown
-6.401581846833994,-50.329539832668665,1.1004347161768475,ML,0.78,408,2023-01-06,Unknown
-6.400109948633008,-50.31094214031132,1.1470456462384808,ML,0.72,409,2023-01-06,Unknown
-6.403518972097937,-50.337566770611325,1.1470456462384808,ML,0.8,410,2023-01-13,Unknown
-6.400109948633008,-50.31094214031132,1.1245732287053984,ML,0.72,411,2023-01-20,Unknown
-6.403518972097937,-50.337566770611325,1.1534169175697802,ML,0.8,412,2023-01-20,Unknown
-6.402368184798649,-50.32905957241117,1.0149772019467198,ML,0.78,413,2023-01-27,Unknown
-6.407637792267373,-50.332958946258096,1.1470456462384808,ML,0.79,414,2023-01-31,Unknown
-6.398333889244735,-50.3153660882764,0.7892047051987341,ML,0.73,415,2023-02-08,Unknown
-6.407637792267373,-50.332958946258096,1.1470456462384808,ML,0.79,416,2023-02-08,Unknown
-6.400306493509394,-50.32959574866014,1.1245732287053984,ML,0.78,417,2023-02-11,Unknown
-6.400306493509394,-50.32959574866014,1.1004347161768475,ML,0.78,418,2023-02-17,Unknown
-6.403518972097937,-50.337566770611325,1.1180455380639898,ML,0.8,419,2023-02-22,Unknown
-6.407637792267373,-50.332958946258096,1.127575285545654,ML,0.79,420,2023-02-28,Unknown
-6.409576998085683,-50.32867038076872,1.2520132347422974,ML,0.77,421,2023-02-28,Unknown
-6.403977527258883,-50.33542317725533,1.1004347161768475,ML,0.79,422,2023-03-03,Unknown
-6.403518972097937,-50.337566770611325,1.1004347161768475,ML,0.8,423,2023-03-07,Unknown
-6.403977527258883,-50.33542317725533,1.1534169175697802,ML,0.79,424,2023-03-10,Unknown
-6.400306493509394,-50.32959574866014,1.0465696063759058,ML,0.78,425,2023-03-10,Unknown
